,numeric,lon,lat,address
고등학교학생,504,127.084375,37.4807426,"63 gwangpyeong-ro 20-gil, gangnam-gu, seoul, south korea"
고등학교학생,741,127.0475357,37.6638554,"598 madeul-ro, dobong-gu, seoul, south korea"
고등학교학생,510,127.0105807,37.547354,"131 dongho-ro 5-gil, seongdong-gu, seoul, south korea"
고등학교학생,549,126.988249,37.4697968,"2727 bangbae-dong, seocho-gu, seoul, south korea"
고등학교학생,864,126.9663628,37.5427169,"33-4 wonhyo-ro 97-gil, yongsan-gu, seoul, south korea"
고등학교학생,786,127.0168786,37.5686276,"290 dasan-ro, heungin-dong, jung-gu, seoul, south korea"
고등학교학생,706,127.0132205,37.5656609,"375 toegye-ro, jung-gu, seoul, south korea"
고등학교학생,599,127.051352,37.540456,"333-10 seongsu-dong 2(i)-ga, seongdong-gu, seoul, south korea"
고등학교학생,593,127.1424358,37.4917279,"21 yangsan-ro, songpa-gu, seoul, south korea"
고등학교학생,757,126.9671352,37.5243749,"24 seobinggo-ro, yongsan-gu, seoul, south korea"
고등학교학생,556,126.8972396,37.5391173,"22 seonyu-ro 55-gil, yeongdeungpo-gu, seoul, south korea"
고등학교학생,784,127.0695589,37.5849213,"21 gyeomjae-ro, dongdaemun-gu, seoul, south korea"
고등학교학생,363,126.9668351,37.5570331,"30 mallijae-ro 37-gil, jung-gu, seoul, south korea"
고등학교학생,661,126.8514662,37.558054,"379 hwagok-ro, gangseo-gu, seoul, south korea"
고등학교학생,565,127.0199016,37.5975051,"870 bugaksan-ro, seongbuk-gu, seoul, south korea"
고등학교학생,502,126.9256312,37.4651377,"141 gwangsin-gil, gwanak-gu, seoul, south korea"
